n_steps,epoch,train_loss
206500,15.76,0.5887
207000,15.8,0.5888
207500,15.84,0.5918
208000,15.88,0.59
208500,15.91,0.5887
209000,15.95,0.5915
209500,15.99,0.591
210000,16.03,0.5855
210500,16.07,0.583
211000,16.11,0.5813
211500,16.14,0.584
212000,16.18,0.5854
212500,16.22,0.582
213000,16.26,0.5842
213500,16.3,0.5848
214000,16.33,0.5847
214500,16.37,0.5828
215000,16.41,0.5844
215500,16.45,0.5826
216000,16.49,0.5865
216500,16.53,0.5875
217000,16.56,0.5851
217500,16.6,0.5829
218000,16.64,0.5862
218500,16.68,0.5835
219000,16.72,0.586
219500,16.75,0.587
220000,16.79,0.5827
220500,16.83,0.5846
221000,16.87,0.5827
221500,16.91,0.5857
222000,16.95,0.5865
222500,16.98,0.5848
223000,17.02,0.5801
223500,17.06,0.5789
224000,17.1,0.5792
224500,17.14,0.5802
225000,17.17,0.5801
225500,17.21,0.5812
226000,17.25,0.5796
226500,17.29,0.5793
227000,17.33,0.5793
227500,17.37,0.5807
228000,17.4,0.5822
228500,17.44,0.5809
229000,17.48,0.5798
229500,17.52,0.582
230000,17.56,0.582
230500,17.59,0.5836
231000,17.63,0.5801
231500,17.67,0.5816
232000,17.71,0.5833
232500,17.75,0.5817
233000,17.78,0.5825
233500,17.82,0.583
234000,17.86,0.5825
234500,17.9,0.5823
235000,17.94,0.5823
235500,17.98,0.5806
236000,18.01,0.5809
236500,18.05,0.5765
237000,18.09,0.5794
237500,18.13,0.5789
238000,18.17,0.5769
238500,18.2,0.5765
239000,18.24,0.5781
239500,18.28,0.5785
240000,18.32,0.5768
240500,18.36,0.5777
241000,18.4,0.5758
241500,18.43,0.5763
242000,18.47,0.5769
242500,18.51,0.5783
243000,18.55,0.5785
243500,18.59,0.579
244000,18.62,0.5786
244500,18.66,0.5789
245000,18.7,0.577
245500,18.74,0.5797
246000,18.78,0.5775
246500,18.82,0.5773
247000,18.85,0.5805
247500,18.89,0.5777
248000,18.93,0.5796
248500,18.97,0.577
249000,19.01,0.5787
249500,19.04,0.5737
250000,19.08,0.5724
250500,19.12,0.5745
251000,19.16,0.5724
251500,19.2,0.5734
252000,19.24,0.5734
252500,19.27,0.5739
253000,19.31,0.5755
253500,19.35,0.5763
254000,19.39,0.5758
254500,19.43,0.5755
