n_steps,epoch,train_loss
259500,16.03,0.6586
260000,16.06,0.6569
260500,16.09,0.6556
261000,16.12,0.6546
261500,16.15,0.6587
262000,16.18,0.6563
262500,16.21,0.6557
263000,16.24,0.6573
263500,16.27,0.6579
264000,16.3,0.656
264500,16.34,0.6567
265000,16.37,0.657
265500,16.4,0.6573
266000,16.43,0.6571
266500,16.46,0.6572
267000,16.49,0.6582
267500,16.52,0.6559
268000,16.55,0.6576
268500,16.58,0.6543
269000,16.61,0.6555
269500,16.64,0.6597
270000,16.67,0.6601
270500,16.71,0.6572
271000,16.74,0.658
271500,16.77,0.6554
272000,16.8,0.657
272500,16.83,0.6604
273000,16.86,0.6579
273500,16.89,0.6614
274000,16.92,0.6569
274500,16.95,0.6587
275000,16.98,0.6564
275500,17.01,0.6578
276000,17.05,0.6556
276500,17.08,0.6555
277000,17.11,0.6551
277500,17.14,0.6551
278000,17.17,0.654
278500,17.2,0.6541
279000,17.23,0.6586
279500,17.26,0.657
280000,17.29,0.6538
280500,17.32,0.6559
281000,17.35,0.6557
281500,17.39,0.6547
282000,17.42,0.6535
282500,17.45,0.6548
283000,17.48,0.6563
283500,17.51,0.6553
284000,17.54,0.6546
284500,17.57,0.6518
285000,17.6,0.6569
285500,17.63,0.6559
286000,17.66,0.6567
286500,17.69,0.6548
287000,17.72,0.6573
287500,17.76,0.6551
288000,17.79,0.6542
288500,17.82,0.6575
289000,17.85,0.6549
289500,17.88,0.6539
290000,17.91,0.6551
290500,17.94,0.6552
291000,17.97,0.6533
291500,18.0,0.6532
292000,18.03,0.6548
292500,18.06,0.6521
293000,18.1,0.6534
293500,18.13,0.6554
294000,18.16,0.6541
294500,18.19,0.653
295000,18.22,0.6529
295500,18.25,0.6541
296000,18.28,0.6522
296500,18.31,0.6529
297000,18.34,0.654
297500,18.37,0.6516
298000,18.4,0.6527
298500,18.44,0.6527
299000,18.47,0.6519
299500,18.5,0.654
300000,18.53,0.655
